iter	RMSE
0	33140723.26
1	31939354.72
2	30564571
3	30014527.37
4	28979055.32
5	27332672.09
6	26577884.65
7	25954718.51
8	24977173.21
9	24388735
10	23865844.38
11	23674802.01
12	22725358.29
13	22227539.29
14	21734906.77
15	21453529.84
16	21251234.2
17	21024209.43
18	20234204.35
19	19512935.53
20	18902278.36
21	18713794.61
22	18509930.65
23	18449000
24	17907340.18
25	17262291.08
26	17081979.22
27	16919608.9
28	16439859.73
29	16402339.2
30	16090708.06
31	15810346.67
32	15695103.99
33	15532057.05
34	15497730.27
35	15364846.64
36	15234471.04
37	15061463.19
38	14874979.36
39	14833008.79
40	14641149.31
41	14486756.7
42	14372497.79
43	14162751.9
44	13869213.52
45	13779858.72
46	13461952.56
47	13346579.32
48	13024803.54
49	12936227.2
50	12796128.31
51	12716526.38
52	12658597.37
53	12518858.1
54	12325548.66
55	12082855.87
56	12017567.61
57	11822256.13
58	11772229.9
59	11551478.22
60	11449078.39
61	11324434.49
62	11224472.68
63	11123283.94
64	10998672.63
65	10929154.96
66	10898184.16
67	10782997.05
68	10727028.57
69	10487034.93
70	10425194.64
71	10349328.27
72	10272957.33
73	10136825.51
74	10109415.45
75	10012887.03
76	10004621.06
77	9928987.522
78	9872225.645
79	9792094.803
80	9721006.63
81	9638211.956
82	9582323.258
83	9578622.54
84	9517729.447
85	9436671.553
86	9356234.013
87	9240227.381
88	9189482.017
89	9125950.231
90	9097944.453
91	9025214.521
92	8995649.703
93	8912579.409
94	8845402.673
95	8774118.27
96	8722603.676
97	8672776.084
98	8603352.563
99	8561879.824
100	8453159.746
101	8401242.636
102	8341009.186
103	8255000.218
104	8245957.406
105	8149335.413
106	8093834.689
107	8030116.731
108	8001157.352
109	7934558.74
110	7881886.773
111	7786836.707
112	7746704.833
113	7701299.127
114	7564424.352
115	7508457.002
116	7466115.723
117	7415206.811
118	7383380.425
119	7324273.943
120	7222437.02
121	7205171.283
122	7122550.247
123	7085300.189
124	7042847.266
125	7023730.387
126	6968579.062
127	6899285.243
128	6891647.213
129	6855574.332
130	6811444.369
131	6774783.747
132	6716931.337
133	6661400.994
134	6602535.171
135	6579452.148
136	6550160.082
137	6520896.525
138	6456314.936
139	6416191.597
140	6397063.748
141	6377160.207
142	6368436.976
143	6325668.805
144	6292583.499
145	6248264.626
146	6232964.413
147	6193605.035
148	6176067.486
149	6115576.529
150	6079461.744
151	6070431.749
152	6057289.856
153	6008092.794
154	5976518.521
155	5941672.316
156	5867740.514
157	5851788.916
158	5824054.793
159	5793792.737
160	5769886.846
161	5759299.52
162	5747258.052
163	5720301.242
164	5691675.704
165	5667773.119
166	5657179.476
167	5633027.732
168	5604588.535
169	5578691.883
170	5550190.221
171	5532896.452
172	5508379.559
173	5490850.703
174	5448659.72
175	5423235.081
176	5403822.722
177	5391236.819
178	5368734.534
179	5344835.422
180	5320322.987
181	5301871.009
182	5236759.702
183	5224744.429
184	5216451.577
185	5203764.333
186	5165355.759
187	5141735.373
188	5121532.353
189	5114378.041
